total,text,img,nodenum,concat
0.1268,0.005,0.1158,0.002,0.0
0.1201,0.0065,0.1076,0.002,0.0
0.1158,0.0053,0.1075,0.001,0.0
0.1154,0.0059,0.1048,0.002,0.0
0.1066,0.004,0.0985,0.002,0.0
0.0985,0.004,0.0915,0.001,0.0
0.1152,0.006,0.1061,0.001,0.0
0.1206,0.005,0.1095,0.003,0.0
0.1238,0.0039,0.1149,0.001,0.001
0.1144,0.0064,0.1039,0.0015,0.0
0.1245,0.007,0.1135,0.001,0.001
0.115,0.006,0.1059,0.001,0.0
0.1117,0.006,0.1017,0.001,0.0
0.1202,0.007,0.1102,0.002,0.0
0.1106,0.003,0.1056,0.0,0.0
0.1106,0.004,0.1035,0.0,0.001
0.1195,0.005,0.1085,0.002,0.001
0.1451,0.005,0.1361,0.002,0.0
0.131,0.005,0.1215,0.001,0.0005
0.1166,0.006,0.1076,0.001,0.0
0.0905,0.007,0.0805,0.001,0.0
0.1221,0.005,0.1141,0.002,0.0
0.1368,0.006,0.1268,0.002,0.0
0.0895,0.006,0.079,0.001,0.0015
0.0905,0.005,0.0825,0.001,0.0
0.0969,0.0041,0.0898,0.001,0.0
0.1032,0.006,0.0931,0.001,0.001
0.1077,0.006,0.0974,0.001,0.001
0.1046,0.005,0.0956,0.001,0.0
0.1057,0.006,0.0947,0.002,0.0
0.1009,0.005,0.0928,0.001,0.0
0.0965,0.003,0.0913,0.0012,0.0
0.1049,0.005,0.0979,0.001,0.0
0.1052,0.0055,0.0977,0.001,0.0
0.1099,0.0094,0.0945,0.003,0.0
0.0911,0.004,0.0851,0.001,0.0
0.1126,0.004,0.1035,0.001,0.0
0.1035,0.005,0.0945,0.002,0.0
0.1055,0.004,0.0985,0.001,0.0
0.1023,0.004,0.0953,0.0005,0.0
0.1065,0.007,0.0945,0.002,0.0
0.1057,0.004,0.0973,0.002,0.0
0.1045,0.006,0.0945,0.001,0.0
0.1079,0.005,0.0998,0.001,0.0
0.1042,0.006,0.0952,0.001,0.0
0.1055,0.004,0.0975,0.001,0.0
0.1165,0.007,0.1045,0.001,0.001
0.1126,0.006,0.1036,0.001,0.0
0.1214,0.0061,0.1114,0.001,0.001
0.1199,0.005,0.1109,0.002,0.0
0.124,0.007,0.112,0.002,0.0
0.1381,0.0056,0.1294,0.002,0.0
0.1214,0.007,0.1114,0.001,0.0
0.1196,0.006,0.1096,0.001,0.001
0.1297,0.005,0.1207,0.001,0.001
0.1106,0.0037,0.1029,0.001,0.0
0.1198,0.006,0.1088,0.002,0.0
0.1127,0.0056,0.1039,0.001,0.0
0.1108,0.003,0.1035,0.001,0.0
0.1164,0.006,0.1069,0.001,0.0
0.1152,0.004,0.1052,0.002,0.0
0.1401,0.005,0.1311,0.001,0.0
0.121,0.006,0.1099,0.001,0.0011
0.1155,0.005,0.1065,0.002,0.0
0.1133,0.005,0.1053,0.001,0.0
0.1252,0.0085,0.1117,0.002,0.0
0.1197,0.0102,0.1025,0.002,0.0
0.124,0.0066,0.1135,0.0013,0.0006
0.1129,0.004,0.1059,0.001,0.0
0.121,0.007,0.1085,0.0015,0.001
0.1216,0.005,0.1113,0.001,0.001
0.1227,0.006,0.1116,0.0021,0.0
0.1154,0.006,0.1065,0.001,0.0
0.1089,0.005,0.1009,0.001,0.0
0.1173,0.005,0.1083,0.002,0.0
0.1088,0.004,0.1028,0.001,0.0
0.1092,0.0061,0.0991,0.001,0.0
0.1055,0.005,0.0955,0.001,0.0
0.1146,0.004,0.1066,0.001,0.001
0.1085,0.005,0.1005,0.001,0.0
